SKU,Nombre_Producto,Descripcion,Categoria,Subcategoria,Marca,Precio_Unitario_EUR,Costo_Unitario_EUR,Stock_Actual,Stock_Minimo,Ubicacion_Almacen,Proveedor_ID,Fecha_Ultima_Recepcion,Peso_Kg,Dimensiones_cm_LxAxH,Color,Material,Estado_Producto
PROD-COS-0347,Cuidado Corporal BellaPiel A 291,Molestiae ipsum voluptatum sunt enim quae fuga sapiente aliquam ab iusto.,Cosmética,Cuidado Corporal,BellaPiel,637.28,328.48,172,22,A4-S4-B5,PROV-034,2024-09-02,22.06,6x64x48,Azul,Algodón,Activo
PROD-JUG-0348,Construcción EduPlay Libero 832,Sunt laudantium dolores natus fugit ullam earum.,Juguetes,Construcción,EduPlay,775.33,397.01,415,18,D5-S10-B4,PROV-038,2024-04-14,3.57,83x8x37,Plateado,Plástico,Descontinuado
PROD-LIB-0349,No Ficción MundoLiterario Quidem Basic241,Libero deleniti suscipit praesentium id est quasi laborum necessitatibus nam distinctio minima quasi.,Libros,No Ficción,MundoLiterario,978.29,426.4,831,30,A3-S3-B1,PROV-037,2024-11-02,5.14,15x23x5,N/A,Vidrio,Bajo Pedido
PROD-ELE-0350,Audio VisionPlus Rem XL361,Nobis fugiat cupiditate dolorum dolor vero debitis molestiae quam et tenetur vel.,Electrónica,Audio,VisionPlus,947.76,639.53,866,12,B1-S6-B5,PROV-024,2024-11-02,13.8,20x15x22,Azul,Plástico,Activo
PROD-ELE-0351,Computadoras VisionPlus Numquam 514,Tempore voluptatum quo magni dolorum molestias distinctio aliquam.,Electrónica,Computadoras,VisionPlus,1257.15,794.88,492,26,A4-S4-B4,PROV-008,2024-10-24,19.61,71x58x5,Transparente,Cerámica,Próximamente
PROD-ROP-0352,Vestidos Elegance Impedit Pro633,Modi quibusdam aliquam pariatur ut earum ad ratione itaque.,Ropa,Vestidos,Elegance,2261.03,1355.79,122,15,D1-S6-B4,PROV-034,2024-11-05,12.88,59x27x5,Transparente,Poliéster,Descontinuado
PROD-COS-0353,Cuidado Facial ColorVibrante Sapiente Basic89,At esse facilis error illo optio iure ipsa facilis ipsa minima doloribus.,Cosmética,Cuidado Facial,ColorVibrante,2198.66,1267.03,695,41,B4-S9-B1,PROV-044,2024-10-20,4.47,25x18x39,Azul,Vidrio,Bajo Pedido
PROD-HOG-0354,Muebles CleanFast Dolorum Eco667,Officia ad fugit mollitia eos non.,Hogar,Muebles,CleanFast,797.91,283.57,659,40,D5-S1-B4,PROV-034,2025-04-01,23.4,21x58x41,Negro,Algodón,Activo
PROD-ROP-0355,Abrigos Elegance Inventore XL605,Fuga aperiam nesciunt ipsa consectetur nulla quibusdam.,Ropa,Abrigos,Elegance,2290.87,746.71,163,17,A5-S2-B2,PROV-042,2025-02-13,24.08,64x24x41,Plateado,Metal,Activo
PROD-ELE-0356,Móviles AudioMax Quam XL935,Suscipit excepturi alias eligendi accusamus distinctio voluptates.,Electrónica,Móviles,AudioMax,1672.83,712.7,803,36,B2-S1-B4,PROV-036,2024-06-17,10.58,16x15x13,Rojo,Plástico,Activo
PROD-JUG-0357,Muñecas DivertiKids In 411,Tempora error omnis eligendi suscipit saepe asperiores autem dicta perferendis deleniti beatae omnis.,Juguetes,Muñecas,DivertiKids,2142.27,820.59,503,40,D2-S4-B1,PROV-030,2025-02-11,21.07,39x64x36,Rojo,Cerámica,Descontinuado
PROD-HOG-0358,Cocina MuebleRústico Impedit Pro127,Ullam itaque aut asperiores numquam voluptatibus debitis sint.,Hogar,Cocina,MuebleRústico,1413.51,959.55,644,45,A2-S7-B5,PROV-036,2024-08-23,24.54,95x32x26,Naranja,Plástico,Descontinuado
PROD-ELE-0359,Computadoras AudioMax Sint Pro112,Fugit iste facere optio omnis officia officiis corporis error illum eum autem.,Electrónica,Computadoras,AudioMax,2187.36,1214.45,581,44,B5-S8-B4,PROV-039,2024-04-26,22.97,48x48x36,Verde,Papel,Activo
PROD-JUG-0360,Exterior DivertiKids Ullam Basic426,Neque aut molestiae iusto vitae voluptatem ipsam dolore et a sequi.,Juguetes,Exterior,DivertiKids,1614.79,739.0,696,13,C3-S5-B1,PROV-003,2025-03-25,13.07,63x69x2,Multicolor,Aluminio,Activo
PROD-JUG-0361,Muñecas ConstruBlock Quia Basic307,Dignissimos aliquid iste nostrum harum neque similique veniam.,Juguetes,Muñecas,ConstruBlock,1253.86,674.14,428,36,A2-S4-B1,PROV-042,2024-09-04,4.5,24x54x25,Verde,Metal,Activo
PROD-ROP-0362,Abrigos ModaFlex Fugit XL98,Culpa blanditiis adipisci tempora corporis vero tempora earum corporis.,Ropa,Abrigos,ModaFlex,304.17,128.59,377,32,A3-S7-B1,PROV-007,2024-10-01,1.93,100x29x33,Verde,Vidrio,Descontinuado
PROD-JUG-0363,Peluches ConstruBlock Repudiandae Basic122,Optio cupiditate maiores libero minus incidunt.,Juguetes,Peluches,ConstruBlock,2161.78,725.28,416,27,A1-S4-B2,PROV-049,2024-12-06,18.51,61x36x12,Verde,Algodón,Bajo Pedido
PROD-ALI-0364,Snacks DeliciasGourmet Odit 273,Praesentium a nam odio rerum quod pariatur voluptates molestias dolor illum.,Alimentación,Snacks,DeliciasGourmet,2321.76,1567.0,382,45,C4-S4-B5,PROV-019,2024-05-12,16.41,41x19x13,N/A,N/A,Bajo Pedido
PROD-LIB-0365,Revistas PequesLeen Aut Pro791,Eveniet blanditiis fugiat molestiae numquam possimus.,Libros,Revistas,PequesLeen,1268.73,624.35,521,18,C2-S1-B4,PROV-029,2024-09-29,1.6,15x23x3,N/A,Plástico,Próximamente
PROD-COS-0366,Cuidado Facial ColorVibrante Dolor 296,Velit labore maiores voluptates adipisci maiores iste in voluptatem quis.,Cosmética,Cuidado Facial,ColorVibrante,1612.85,487.58,886,49,D1-S5-B5,PROV-001,2024-12-22,17.14,87x5x28,Transparente,Plástico,Próximamente
PROD-HOG-0367,Decoración DecoHome Illo XL520,Quas dolorem itaque qui veritatis itaque occaecati autem.,Hogar,Decoración,DecoHome,1746.24,830.04,124,38,B1-S1-B5,PROV-035,2024-10-18,3.45,16x53x49,Multicolor,Madera,Activo
PROD-HOG-0368,Decoración CleanFast Labore Pro767,Necessitatibus eaque iste dignissimos ducimus velit sint animi similique eos dicta facere labore.,Hogar,Decoración,CleanFast,1960.9,1371.46,213,16,D3-S7-B5,PROV-003,2025-02-06,10.81,95x21x46,Plateado,Silicona,Activo
PROD-COS-0369,Maquillaje AromaEsencial Magnam Eco506,Consectetur necessitatibus animi accusantium molestias officia consequuntur.,Cosmética,Maquillaje,AromaEsencial,2260.82,828.64,611,30,B4-S8-B3,PROV-010,2024-08-03,9.8,81x49x13,Transparente,Poliéster,Próximamente
PROD-ALI-0370,Fresco QuickBite Natus Basic668,Sed repellendus maxime numquam suscipit voluptatum dolorem.,Alimentación,Fresco,QuickBite,292.06,90.23,738,48,A4-S1-B5,PROV-029,2024-08-19,20.62,39x6x35,N/A,N/A,Activo
PROD-COS-0371,Perfumes AromaEsencial Unde Basic760,Provident enim aliquid fugit reprehenderit fugiat iure itaque.,Cosmética,Perfumes,AromaEsencial,2435.74,1249.1,982,32,C1-S7-B5,PROV-024,2025-01-19,18.49,83x7x38,Transparente,Silicona,Próximamente
PROD-ELE-0372,Audio AudioMax Neque Pro684,Corrupti quaerat magni quos quisquam recusandae sit.,Electrónica,Audio,AudioMax,1678.46,911.05,814,49,A5-S1-B4,PROV-030,2024-06-27,24.87,88x24x41,Naranja,Poliéster,Activo
PROD-ROP-0373,Calzado ModaFlex Recusandae 606,Cum tempora velit quam odit facilis iste ducimus amet quo.,Ropa,Calzado,ModaFlex,1706.62,941.47,839,22,C5-S6-B3,PROV-018,2024-08-21,5.07,30x66x31,Naranja,Papel,Descontinuado
PROD-ALI-0374,Snacks DeliciasGourmet Iusto Eco611,Ad assumenda sequi sequi eveniet accusantium nulla ullam explicabo ratione expedita.,Alimentación,Snacks,DeliciasGourmet,1324.17,446.77,330,11,C2-S4-B2,PROV-029,2025-01-29,12.7,48x15x21,N/A,N/A,Bajo Pedido
PROD-COS-0375,Cabello BellaPiel Reiciendis XL120,Modi animi quaerat voluptatum necessitatibus fuga dolores cum error.,Cosmética,Cabello,BellaPiel,2223.12,944.35,861,23,D4-S9-B4,PROV-019,2024-10-25,19.33,49x9x24,Amarillo,Silicona,Próximamente
PROD-ALI-0376,Bebidas SaborNatural Beatae XL507,Accusantium sapiente adipisci nihil enim facere vero natus repellendus.,Alimentación,Bebidas,SaborNatural,833.41,512.83,672,41,B3-S9-B1,PROV-049,2024-07-17,8.11,33x23x42,N/A,N/A,Próximamente
PROD-ROP-0377,Abrigos UrbanStyle Eum Eco767,Aliquid illo ullam placeat autem aut quam rerum quas impedit nemo itaque.,Ropa,Abrigos,UrbanStyle,363.06,225.2,538,43,D3-S9-B1,PROV-034,2024-09-08,2.16,92x73x14,Blanco,Cerámica,Próximamente
PROD-JUG-0378,Educativos ConstruBlock Blanditiis XL611,Similique fugiat unde commodi maxime tenetur sed quasi ullam sed culpa.,Juguetes,Educativos,ConstruBlock,1878.31,1147.9,273,13,B2-S10-B4,PROV-012,2024-12-05,20.04,90x72x29,Azul,Cuero,Descontinuado
PROD-JUG-0379,Exterior EduPlay Ratione 508,Voluptatum recusandae error ex in accusamus dignissimos.,Juguetes,Exterior,EduPlay,2128.06,1186.38,722,36,A4-S10-B5,PROV-035,2024-12-02,12.18,18x14x28,Negro,Plástico,Próximamente
PROD-LIB-0380,No Ficción PequesLeen Quam Eco5,Quo magni libero quibusdam explicabo eaque saepe harum repudiandae quod.,Libros,No Ficción,PequesLeen,1809.47,574.17,698,16,A1-S4-B4,PROV-023,2024-11-01,5.02,15x23x4,N/A,Silicona,Descontinuado
PROD-JUG-0381,Exterior ConstruBlock Suscipit 511,Iusto ipsum impedit tempore sint nostrum labore perspiciatis.,Juguetes,Exterior,ConstruBlock,2182.73,1165.65,906,31,B4-S9-B3,PROV-011,2024-10-28,7.16,21x79x16,Gris,Poliéster,Descontinuado
PROD-JUG-0382,Construcción ConstruBlock Delectus Basic688,Tenetur laudantium labore in velit nesciunt mollitia illum.,Juguetes,Construcción,ConstruBlock,1015.19,621.46,757,28,B3-S9-B4,PROV-009,2024-07-14,20.72,90x13x26,Rojo,Aluminio,Descontinuado
PROD-COS-0383,Cabello AromaEsencial Iure Eco801,Natus accusamus eos in aliquam officiis placeat.,Cosmética,Cabello,AromaEsencial,724.79,271.37,100,48,C5-S10-B5,PROV-042,2024-06-11,22.41,14x11x46,Blanco,Poliéster,Próximamente
PROD-ELE-0384,Audio AudioMax Voluptatum 119,Molestiae eum eveniet voluptatum quisquam neque officia quaerat voluptates sed.,Electrónica,Audio,AudioMax,2392.96,924.85,73,39,A5-S1-B3,PROV-013,2024-12-13,18.93,25x51x9,Plateado,Silicona,Descontinuado
PROD-ALI-0385,Bebidas QuickBite Ipsa Pro555,Enim ratione laudantium dicta aspernatur quis necessitatibus veniam et quo quia possimus.,Alimentación,Bebidas,QuickBite,1917.05,1170.08,780,39,B5-S7-B4,PROV-048,2025-02-28,4.16,66x47x37,N/A,N/A,Activo
PROD-HOG-0386,Muebles DecoHome Numquam Basic751,Mollitia reprehenderit ex voluptate iure voluptatibus nesciunt reprehenderit eum dolore ratione impedit.,Hogar,Muebles,DecoHome,1640.24,813.43,157,46,D2-S4-B3,PROV-040,2024-11-07,17.88,47x37x32,Transparente,Aluminio,Próximamente
PROD-JUG-0387,Exterior DivertiKids Ratione XL153,Ea unde molestiae quas praesentium esse perspiciatis sunt officiis.,Juguetes,Exterior,DivertiKids,2064.64,1357.35,843,18,C2-S5-B2,PROV-030,2024-09-04,22.49,58x33x3,Multicolor,Madera,Descontinuado
PROD-ALI-0388,Fresco SaborNatural Nesciunt Pro805,Incidunt earum dolorem quidem odit ab.,Alimentación,Fresco,SaborNatural,901.27,379.37,879,21,B3-S6-B4,PROV-001,2024-04-05,8.16,39x52x13,N/A,N/A,Activo
PROD-ELE-0389,TV ConnectPhone Laudantium 518,Repellendus velit sint dolor facere rerum eaque maiores exercitationem.,Electrónica,TV,ConnectPhone,144.99,47.82,961,11,D4-S4-B1,PROV-047,2024-04-17,7.91,58x57x29,Rojo,Silicona,Activo
PROD-LIB-0390,Ficción Ediciones Saber Et XL16,Assumenda saepe molestiae voluptates esse consectetur.,Libros,Ficción,Ediciones Saber,752.22,364.52,354,44,C1-S10-B4,PROV-010,2024-11-18,7.84,15x23x5,N/A,Madera,Bajo Pedido
PROD-LIB-0391,Revistas PequesLeen Pariatur Pro268,Aliquid possimus quasi maxime recusandae ullam eaque totam aliquid quae quaerat.,Libros,Revistas,PequesLeen,559.05,202.37,724,20,B3-S1-B3,PROV-026,2025-01-04,12.48,15x23x1,N/A,Poliéster,Próximamente
PROD-ROP-0392,Calzado ModaFlex Beatae Eco320,Est dolores nam nesciunt officia accusamus ex quaerat mollitia ullam debitis iste.,Ropa,Calzado,ModaFlex,701.14,453.81,981,27,B4-S5-B5,PROV-011,2024-09-01,13.85,9x39x15,Rojo,Vidrio,Bajo Pedido
PROD-JUG-0393,Peluches DivertiKids Earum 808,Accusamus deleniti voluptatibus eveniet illum sequi saepe nostrum corrupti ullam tenetur quam sit.,Juguetes,Peluches,DivertiKids,499.44,228.52,55,27,A3-S1-B4,PROV-047,2024-10-17,10.34,49x19x43,Azul,Algodón,Descontinuado
PROD-JUG-0394,Muñecas EduPlay Consectetur 470,Voluptatum suscipit accusantium laudantium occaecati tempora similique quisquam explicabo.,Juguetes,Muñecas,EduPlay,534.54,361.43,739,30,C2-S9-B1,PROV-003,2024-10-12,3.72,35x44x12,Transparente,Cerámica,Descontinuado
PROD-ROP-0395,Pantalones ModaFlex Laudantium XL499,Repellendus ipsum doloremque nobis veritatis et nobis est et.,Ropa,Pantalones,ModaFlex,903.51,470.66,268,10,B3-S8-B5,PROV-041,2024-06-25,11.24,100x44x3,Naranja,Silicona,Descontinuado
PROD-ALI-0396,Conservas DeliciasGourmet Ratione Eco125,Voluptatibus maxime saepe iusto sed debitis excepturi cupiditate velit non magni.,Alimentación,Conservas,DeliciasGourmet,1271.21,623.98,983,12,B5-S4-B3,PROV-002,2025-04-01,19.82,92x51x47,N/A,N/A,Activo
PROD-JUG-0397,Construcción ConstruBlock Nemo XL701,Velit officia adipisci officia eligendi vel voluptas beatae.,Juguetes,Construcción,ConstruBlock,1495.74,999.06,157,37,A5-S8-B5,PROV-037,2025-02-18,3.49,29x55x41,Amarillo,Vidrio,Activo
PROD-COS-0398,Cuidado Corporal ColorVibrante Et XL142,Voluptatem quia quos dolor ad optio porro quasi reiciendis asperiores cum temporibus eum corporis.,Cosmética,Cuidado Corporal,ColorVibrante,715.13,328.59,737,24,A5-S2-B3,PROV-025,2025-01-06,17.36,71x6x29,Gris,Silicona,Bajo Pedido
PROD-HOG-0399,Jardín DecoHome Illum Basic702,Quod repellendus rem ad qui suscipit culpa iure libero dicta id suscipit.,Hogar,Jardín,DecoHome,1967.3,678.39,514,23,C3-S4-B2,PROV-030,2024-05-02,8.5,6x24x36,Plateado,Cerámica,Bajo Pedido
PROD-ALI-0400,Fresco QuickBite Incidunt Eco414,Veniam distinctio dolorum qui soluta qui harum tempore quasi nemo quas ab sint.,Alimentación,Fresco,QuickBite,2008.18,881.68,601,34,C1-S9-B5,PROV-038,2024-08-21,8.21,79x8x50,N/A,N/A,Descontinuado
PROD-ROP-0401,Pantalones ComfortWear Consequuntur XL691,Nesciunt nam rem facere in quidem nobis veritatis.,Ropa,Pantalones,ComfortWear,1036.8,521.05,742,33,D3-S5-B4,PROV-028,2024-05-18,10.43,35x36x41,Negro,Vidrio,Próximamente
PROD-ROP-0402,Pantalones ComfortWear Voluptatem 99,Magnam quia ducimus harum illum quo vero perspiciatis iusto.,Ropa,Pantalones,ComfortWear,12.48,7.67,915,46,C3-S8-B3,PROV-020,2024-12-21,16.67,75x36x21,Naranja,Papel,Próximamente
PROD-COS-0403,Maquillaje AromaEsencial Eaque Basic43,Nesciunt a eius cupiditate quis facilis.,Cosmética,Maquillaje,AromaEsencial,1889.21,1315.74,890,44,A3-S5-B4,PROV-049,2025-01-04,5.34,65x66x28,Amarillo,Aluminio,Próximamente
PROD-ROP-0404,Calzado ComfortWear Nesciunt Eco583,Cumque explicabo magnam atque officiis voluptatem tenetur quisquam hic nostrum quidem.,Ropa,Calzado,ComfortWear,911.02,529.54,977,16,C4-S7-B5,PROV-019,2025-02-03,15.03,18x80x35,Gris,Metal,Descontinuado
PROD-COS-0405,Cabello AromaEsencial Vero Eco655,Illo provident laborum praesentium non architecto maiores velit deserunt nemo nostrum.,Cosmética,Cabello,AromaEsencial,2350.68,1378.73,732,45,C5-S10-B2,PROV-023,2024-09-08,20.49,46x33x15,Gris,Vidrio,Activo
PROD-ROP-0406,Pantalones UrbanStyle Amet Basic705,Aliquam non dolore earum ipsam porro necessitatibus.,Ropa,Pantalones,UrbanStyle,1161.62,718.44,806,33,C1-S8-B5,PROV-003,2025-01-03,18.97,54x13x30,Blanco,Algodón,Descontinuado
PROD-ELE-0407,TV TechNova Esse Eco532,Ratione odit temporibus incidunt officiis quos pariatur iure praesentium doloremque laudantium.,Electrónica,TV,TechNova,908.24,312.92,377,37,C4-S4-B5,PROV-015,2024-09-25,16.63,18x56x44,Gris,Metal,Activo
PROD-ROP-0408,Camisetas UrbanStyle Occaecati Pro78,Cum ratione eveniet temporibus commodi sapiente vitae fuga ducimus dolorem.,Ropa,Camisetas,UrbanStyle,2443.79,1442.66,69,13,B1-S9-B3,PROV-023,2024-11-02,20.95,50x29x25,Naranja,Cerámica,Bajo Pedido
PROD-ALI-0409,Bebidas DeliciasGourmet Labore Pro106,Eius alias possimus voluptatibus libero assumenda aut dolorem distinctio assumenda.,Alimentación,Bebidas,DeliciasGourmet,1020.36,518.6,348,50,B2-S9-B5,PROV-045,2025-03-12,14.7,49x25x33,N/A,N/A,Descontinuado
PROD-LIB-0410,Infantil MundoLiterario Ducimus 185,Alias aspernatur quisquam consectetur vero blanditiis fuga dolorum voluptate sed.,Libros,Infantil,MundoLiterario,265.9,103.46,259,24,A1-S1-B3,PROV-025,2025-01-25,18.71,15x23x5,N/A,Cerámica,Activo
PROD-HOG-0411,Jardín DecoHome Itaque Pro748,Nulla blanditiis dignissimos dolor voluptas ea doloremque architecto magnam voluptatum molestiae minus alias.,Hogar,Jardín,DecoHome,2365.92,953.32,520,11,B5-S1-B4,PROV-037,2024-07-03,7.9,6x62x47,Plateado,Cuero,Próximamente
PROD-HOG-0412,Cocina CleanFast Voluptas 225,Laudantium error ipsum officia error ullam praesentium porro earum sunt repudiandae ipsa vel.,Hogar,Cocina,CleanFast,1241.47,432.65,258,25,A2-S4-B3,PROV-045,2025-03-21,13.69,81x72x25,Blanco,Papel,Descontinuado
PROD-ELE-0413,Accesorios VisionPlus Temporibus Eco34,Natus perferendis inventore ea veritatis voluptatum nam ad amet similique maiores.,Electrónica,Accesorios,VisionPlus,2352.99,1359.43,235,13,B5-S6-B5,PROV-042,2024-04-30,1.38,98x58x41,Amarillo,Plástico,Descontinuado
PROD-COS-0414,Cuidado Facial BellaPiel Inventore Pro86,Sequi a fugit consequatur expedita deserunt natus sunt reprehenderit.,Cosmética,Cuidado Facial,BellaPiel,1311.03,550.88,834,48,D4-S2-B1,PROV-005,2024-12-20,16.65,96x74x32,Plateado,Poliéster,Bajo Pedido
PROD-JUG-0415,Exterior EduPlay Quae 677,Doloremque saepe cupiditate animi nemo distinctio explicabo ab nostrum quis at.,Juguetes,Exterior,EduPlay,1229.94,772.59,992,49,C5-S1-B5,PROV-020,2024-06-08,4.02,44x34x43,Rojo,Vidrio,Descontinuado
PROD-ELE-0416,Accesorios ConnectPhone Doloremque Pro801,Repellat laboriosam corporis tenetur sed veritatis quaerat nemo magnam.,Electrónica,Accesorios,ConnectPhone,517.63,248.55,925,30,C5-S6-B4,PROV-019,2024-07-13,7.73,18x18x12,Rojo,Cerámica,Bajo Pedido
PROD-ELE-0417,TV VisionPlus Quas XL45,Magnam dignissimos consequuntur porro porro earum expedita.,Electrónica,TV,VisionPlus,1633.78,787.98,981,45,C2-S10-B3,PROV-042,2024-11-04,19.83,29x52x6,Gris,Metal,Activo
PROD-LIB-0418,No Ficción MundoLiterario Dolore Basic763,Illo eaque voluptates officiis laudantium mollitia magnam eos earum dolores cumque cum.,Libros,No Ficción,MundoLiterario,1740.28,939.87,194,12,D5-S2-B4,PROV-008,2025-01-25,10.42,15x23x4,N/A,Papel,Bajo Pedido
PROD-HOG-0419,Cocina MuebleRústico Atque Eco369,Harum inventore ad non numquam suscipit recusandae similique necessitatibus impedit.,Hogar,Cocina,MuebleRústico,2095.32,1378.58,856,49,A1-S2-B5,PROV-036,2025-01-10,18.02,11x69x8,Negro,Papel,Descontinuado
PROD-HOG-0420,Muebles MuebleRústico Deserunt Basic452,Itaque maiores nam maxime delectus cumque.,Hogar,Muebles,MuebleRústico,561.79,178.13,690,45,C4-S6-B3,PROV-017,2024-09-19,20.59,55x44x33,Blanco,Cerámica,Próximamente
PROD-HOG-0421,Jardín CocinaFácil Et Pro681,Quaerat iste debitis blanditiis saepe fuga nemo.,Hogar,Jardín,CocinaFácil,473.94,242.04,164,11,B1-S5-B1,PROV-035,2025-01-26,23.6,20x14x17,Amarillo,Poliéster,Próximamente
PROD-ALI-0422,Fresco QuickBite Eos 522,Voluptas laboriosam commodi a reprehenderit iusto minima sit repudiandae quas consequatur asperiores in.,Alimentación,Fresco,QuickBite,2322.98,1097.06,659,50,B5-S9-B3,PROV-049,2024-04-25,6.13,98x8x45,N/A,N/A,Bajo Pedido
PROD-JUG-0423,Construcción ConstruBlock Assumenda 638,Delectus recusandae cum odio nam suscipit.,Juguetes,Construcción,ConstruBlock,231.76,91.29,138,21,D4-S1-B5,PROV-007,2024-09-21,3.17,76x34x35,Transparente,Metal,Bajo Pedido
PROD-ROP-0424,Pantalones UrbanStyle Molestiae 731,A sed illo minima repudiandae architecto adipisci blanditiis.,Ropa,Pantalones,UrbanStyle,902.85,539.01,190,28,D4-S4-B2,PROV-040,2024-12-20,20.46,85x75x6,Verde,Poliéster,Próximamente
PROD-ALI-0425,Snacks DeliciasGourmet Voluptates Basic122,Possimus officia tempora illo pariatur dolor aliquam esse mollitia placeat molestiae eos ad.,Alimentación,Snacks,DeliciasGourmet,911.54,401.9,118,18,D5-S7-B3,PROV-039,2024-07-20,3.59,79x47x35,N/A,N/A,Descontinuado
PROD-HOG-0426,Cocina MuebleRústico Occaecati Pro61,Rerum fugiat eveniet cumque commodi quam voluptate voluptatem delectus.,Hogar,Cocina,MuebleRústico,2040.62,1308.98,153,32,D3-S9-B2,PROV-043,2024-11-08,13.62,77x33x7,Blanco,Plástico,Activo
PROD-COS-0427,Cabello ColorVibrante Praesentium XL223,Iusto in recusandae magnam iusto consequatur deserunt suscipit quas odit necessitatibus sint voluptatibus.,Cosmética,Cabello,ColorVibrante,1552.29,858.3,146,10,B3-S4-B3,PROV-027,2025-02-23,20.4,21x23x26,Plateado,Papel,Próximamente
PROD-ROP-0428,Abrigos ModaFlex Suscipit 752,Incidunt cumque neque occaecati architecto nisi possimus voluptates ex porro facilis.,Ropa,Abrigos,ModaFlex,540.36,354.64,883,25,B1-S4-B5,PROV-038,2024-04-02,7.57,56x23x47,Azul,Poliéster,Próximamente
PROD-JUG-0429,Educativos ConstruBlock Accusamus XL564,Praesentium rerum culpa fugit atque incidunt ipsam architecto optio veniam unde tempore necessitatibus.,Juguetes,Educativos,ConstruBlock,1659.46,646.25,79,29,B2-S1-B2,PROV-009,2024-09-22,9.7,92x24x34,Plateado,Cerámica,Bajo Pedido
PROD-COS-0430,Cuidado Facial AromaEsencial Soluta Basic585,Quod nesciunt quae necessitatibus expedita repudiandae soluta cum.,Cosmética,Cuidado Facial,AromaEsencial,183.38,77.16,673,26,C2-S9-B5,PROV-011,2024-07-03,22.71,100x48x20,Multicolor,Metal,Activo
PROD-ELE-0431,Móviles VisionPlus Atque Pro63,Incidunt rem libero deleniti pariatur quam quam quia sit sed dolores iste distinctio.,Electrónica,Móviles,VisionPlus,330.87,225.64,991,33,D4-S10-B5,PROV-024,2024-10-24,21.56,97x41x45,Gris,Silicona,Descontinuado
PROD-COS-0432,Cuidado Corporal BellaPiel Velit Eco122,Error minus assumenda architecto esse officiis atque unde aliquid cum ad.,Cosmética,Cuidado Corporal,BellaPiel,2272.35,889.15,989,50,A2-S2-B1,PROV-046,2024-10-12,15.89,60x16x11,Blanco,Cuero,Activo
PROD-LIB-0433,Ficción MundoLiterario Modi XL105,Illum assumenda qui illum doloremque eaque beatae ex sequi alias eius debitis sunt.,Libros,Ficción,MundoLiterario,567.83,353.79,116,20,D3-S5-B4,PROV-035,2024-10-10,0.39,15x23x4,N/A,Cerámica,Próximamente
PROD-LIB-0434,Revistas MundoLiterario Ex 199,Corporis sapiente fuga molestiae exercitationem quas dolorum.,Libros,Revistas,MundoLiterario,729.13,481.71,924,34,C5-S6-B3,PROV-049,2024-04-07,1.28,15x23x3,N/A,Vidrio,Activo
PROD-JUG-0435,Exterior ConstruBlock Praesentium 316,Eveniet incidunt aspernatur delectus totam atque maiores unde.,Juguetes,Exterior,ConstruBlock,152.78,76.61,52,49,D3-S4-B3,PROV-005,2024-12-13,20.41,10x74x10,Rojo,Aluminio,Bajo Pedido
PROD-ELE-0436,TV VisionPlus Aspernatur 7,Dolore dicta iste repellendus molestias laborum quod sint harum quaerat.,Electrónica,TV,VisionPlus,29.32,20.06,136,11,B3-S9-B2,PROV-011,2025-03-06,20.73,24x45x8,Naranja,Poliéster,Próximamente
PROD-ALI-0437,Conservas DeliciasGourmet Modi Pro917,Magnam qui sed eius nostrum vel quia asperiores consectetur dignissimos fugiat omnis.,Alimentación,Conservas,DeliciasGourmet,1845.71,741.16,705,40,B5-S6-B4,PROV-002,2024-12-29,8.9,37x42x9,N/A,N/A,Próximamente
PROD-HOG-0438,Cocina CleanFast Ullam Basic994,Perspiciatis suscipit ullam repellat sit vitae molestiae tempora amet perspiciatis veritatis.,Hogar,Cocina,CleanFast,498.21,307.72,209,35,D2-S1-B1,PROV-001,2024-07-26,0.81,88x25x5,Multicolor,Aluminio,Activo
PROD-ROP-0439,Vestidos ComfortWear Quo 558,Unde tempora accusantium aut laborum minus aut.,Ropa,Vestidos,ComfortWear,116.05,66.12,321,21,A5-S1-B4,PROV-036,2024-11-06,10.5,73x56x31,Plateado,Cuero,Descontinuado
PROD-LIB-0440,Académico MundoLiterario Repellendus Eco99,At dolores perferendis ducimus quisquam vitae architecto deleniti eum voluptates nulla vero.,Libros,Académico,MundoLiterario,966.62,404.1,488,23,B4-S2-B3,PROV-014,2025-02-06,21.6,15x23x1,N/A,Aluminio,Activo
PROD-ELE-0441,TV VisionPlus Eos XL105,Quo illo at reiciendis fugit ullam ea.,Electrónica,TV,VisionPlus,944.22,349.13,664,34,D1-S1-B2,PROV-010,2024-07-19,19.77,46x21x27,Verde,Madera,Bajo Pedido
PROD-JUG-0442,Educativos EduPlay Ab Basic136,Dolore deserunt doloremque quod recusandae fugiat tempora.,Juguetes,Educativos,EduPlay,895.93,414.65,744,28,B1-S8-B3,PROV-011,2024-06-08,4.86,70x29x25,Amarillo,Madera,Próximamente
PROD-COS-0443,Cuidado Facial BellaPiel Quam Eco290,Molestiae esse expedita illo totam tenetur voluptatum dolores laudantium ex quos dolor repellendus.,Cosmética,Cuidado Facial,BellaPiel,2289.3,1511.23,330,38,C1-S8-B1,PROV-049,2024-06-28,2.26,33x55x50,Verde,Metal,Activo
